LG	CHR_OLD
34	1
23	2
24	2
70	2
2	3
4	3
5	3
14	4
19	5
20	5
42	5
44	5
12	6
22	6
29	6
60	7
36	8
67	8
72	8
18	9
26	9
38	9
28	10
41	10
65	10
37	11
39	11
57	11
58	11
40	12
11	13
21	13
53	14
54	14
55	14
68	14
71	14
17	15
27	15
8	16
43	16
69	16
50	17
61	17
62	17
63	17
9	18
64	18
13	19
15	19
16	19
33	19
52	19
25	20
45	20
32	21
47	21
48	21
56	21
46	22
49	22
66	22
35	23
1	24
3	24
6	24
31	24
10	25
30	25
7	26
