LG	CHR_OLD
7	1
46	2
10	3
14	4
51	4
24	5
31	5
36	5
50	5
25	6
35	6
40	6
23	7
42	7
18	8
54	8
44	9
45	9
47	9
48	9
15	10
39	10
3	11
4	11
5	11
29	11
34	11
38	11
55	11
22	12
32	12
33	12
37	12
8	13
12	14
26	15
49	15
27	16
56	16
30	17
52	17
53	17
21	18
28	18
13	19
19	19
1	20
2	20
6	20
41	21
43	21
16	22
20	23
9	24
17	25
11	26

