Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
50	1	43.910		0.09	1	 0.0919182	-0.00749314	 9.96228e-06	 0.252140	  0.7	 0.0459541	-0.0534572	0.968
51	1	44.910		0.10	1	 0.0942893	-0.0114008	 2.28841e-05	 0.251990	  0.8	 0.0471332	-0.0585569	0.952
52	1	45.910		0.11	1	 0.0956461	-0.0110772	 2.25127e-05	 0.251902	  0.8	 0.0478118	-0.0589115	0.951
53	1	46.910		0.11	1	 0.0959213	-0.00703981	 9.89407e-06	 0.251882	  0.8	 0.0479557	-0.0550054	0.966
54	1	47.910		0.11	1	 0.0953144	-0.000572229	 7.35288e-08	 0.251916	  0.8	 0.0476572	-0.0482295	0.997
55	1	47.989	i05071Gh	0.11	1	 0.0952381	 0.00000	 0.00000	 0.251920	  0.8	 0.0476190	-0.0476190	1.000
56	1	48.989		0.12	1	 0.0986167	-0.00628676	 5.97306e-06	 0.251706	  0.9	 0.0493054	-0.0555981	0.971
57	1	49.989		0.12	1	 0.100519	-0.00761366	 8.84595e-06	 0.251584	  0.9	 0.0502552	-0.0578777	0.965
58	1	50.989		0.12	1	 0.100636	-0.00387056	 2.45876e-06	 0.251574	  0.9	 0.0503169	-0.0541899	0.981
59	1	51.563	i05090Gh	0.12	1	 0.100000	 0.00000	 0.00000	 0.251613	  0.9	 0.0500000	-0.0500000	1.000
60	1	51.563	i05088Gh	0.12	1	 0.100000	 0.00000	 0.00000	 0.251613	  0.9	 0.0500000	-0.0500000	1.000
61	1	52.563		0.14	1	 0.104781	-0.00585769	 8.22469e-06	 0.251325	  1.0	 0.0523863	-0.0582523	0.963
62	1	53.563		0.15	1	 0.109697	-0.0110819	-2.56236e-05	 0.251029	  1.1	 0.0548611	-0.0659173	0.930
63	1	54.563		0.17	1	 0.114605	-0.0155043	-0.000152270	 0.250734	  1.2	 0.0573784	-0.0727305	0.903
64	1	55.563		0.18	1	 0.119364	-0.0190208	-0.000370683	 0.250446	  1.4	 0.0598673	-0.0785174	0.881
65	1	56.563		0.20	1	 0.123845	-0.0215862	-0.000637735	 0.250173	  1.5	 0.0622416	-0.0831901	0.865
66	1	57.563		0.21	1	 0.127937	-0.0232022	-0.000888253	 0.249922	  1.6	 0.0644125	-0.0867264	0.853
67	1	58.563		0.22	1	 0.131546	-0.0239012	-0.00105829	 0.249697	  1.7	 0.0663021	-0.0891449	0.846
68	1	59.563		0.24	1	 0.134601	-0.0237331	-0.00110496	 0.249504	  1.7	 0.0678530	-0.0904811	0.844
69	1	60.563		0.24	1	 0.137051	-0.0227559	-0.00101825	 0.249344	  1.8	 0.0690347	-0.0907723	0.847
70	1	61.563		0.25	1	 0.138866	-0.0210301	-0.000822629	 0.249220	  1.8	 0.0698442	-0.0900517	0.855
71	1	62.563		0.26	1	 0.140035	-0.0186191	-0.000568828	 0.249133	  1.9	 0.0703017	-0.0883519	0.869
72	1	63.563		0.26	1	 0.140567	-0.0155909	-0.000318321	 0.249082	  1.9	 0.0704428	-0.0857153	0.887
73	1	64.563		0.26	1	 0.140494	-0.0120230	-0.000124832	 0.249067	  1.9	 0.0703093	-0.0822075	0.910
74	1	65.563		0.26	1	 0.139863	-0.00800572	-1.82030e-05	 0.249084	  1.9	 0.0699407	-0.0779282	0.939
75	1	66.563		0.26	1	 0.138741	-0.00364277	 4.71447e-06	 0.249131	  1.9	 0.0693682	-0.0730156	0.972
76	1	67.193	i27422Gh	0.25	1	 0.137817	-0.000767906	-8.85593e-06	 0.249173	  1.9	 0.0689128	-0.0696718	0.996
77	1	68.153	i18951Gh	0.25	1	 0.137880	-0.000585546	 8.24344e-06	 0.249169	  1.9	 0.0689357	-0.0695295	0.991
78	1	69.153		0.25	1	 0.136730	-0.00195035	 4.05279e-05	 0.249245	  1.8	 0.0683449	-0.0703358	0.978
79	1	70.107	i05303Gh	0.24	1	 0.133333	 0.00000	 0.00000	 0.249462	  1.7	 0.0666667	-0.0666667	1.000
80	1	70.107	i05306Gh	0.24	1	 0.133333	 0.00000	 0.00000	 0.249462	  1.7	 0.0666667	-0.0666667	1.000
81	1	71.107		0.24	1	 0.133310	-0.00190222	 0.000135111	 0.249474	  1.7	 0.0665873	-0.0686247	0.966
82	1	72.107		0.23	1	 0.132862	-0.00337673	 0.000405480	 0.249509	  1.7	 0.0662283	-0.0700105	0.944
83	1	73.107		0.23	1	 0.131972	-0.00421241	 0.000597139	 0.249570	  1.7	 0.0656872	-0.0704968	0.933
84	1	74.107		0.23	1	 0.130638	-0.00423446	 0.000570256	 0.249655	  1.7	 0.0650341	-0.0698388	0.935
85	1	75.107		0.22	1	 0.128888	-0.00338895	 0.000344495	 0.249764	  1.6	 0.0642717	-0.0680052	0.948
86	1	76.107		0.21	1	 0.126770	-0.00176851	 8.52745e-05	 0.249893	  1.6	 0.0633426	-0.0651964	0.973
87	1	76.850	i29577Gh	0.21	1	 0.124999	-0.000172023	-2.42316e-06	 0.250000	  1.5	 0.0625007	-0.0626703	0.999
88	1	77.850		0.21	1	 0.125069	-0.00337971	 0.000169158	 0.250009	  1.5	 0.0624500	-0.0659989	0.963
