Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	0.000	i36884Gh	1.77	1	 1.80000	 2.00000	 1.09524	 0.815238	 18.5	 0.352381	 0.552381	1.000
2	1	1.000		1.72	1	 1.79202	 2.00557	 1.08248	 0.820590	 17.9	 0.354773	 0.568319	0.962
3	1	2.000		1.65	1	 1.78380	 2.00865	 1.07183	 0.826765	 17.3	 0.355983	 0.580830	0.927
4	1	3.000		1.58	1	 1.77505	 2.00908	 1.06369	 0.833734	 16.6	 0.355683	 0.589711	0.896
5	1	4.000		1.50	1	 1.76542	 2.00680	 1.05836	 0.841436	 15.9	 0.353528	 0.594916	0.868
6	1	5.000		1.41	1	 1.75447	 2.00185	 1.05610	 0.849788	 15.0	 0.349188	 0.596559	0.843
7	1	6.000		1.32	1	 1.74180	 1.99433	 1.05707	 0.858678	 14.1	 0.342367	 0.594896	0.822
8	1	7.000		1.23	1	 1.72700	 1.98446	 1.06133	 0.867975	 13.2	 0.332838	 0.590295	0.804
9	1	8.000		1.13	1	 1.70977	 1.97250	 1.06884	 0.877531	 12.2	 0.320465	 0.583195	0.789
10	1	9.000		1.04	1	 1.68991	 1.95876	 1.07947	 0.887192	 11.3	 0.305223	 0.574071	0.777
11	1	10.000		0.95	1	 1.66741	 1.94359	 1.09299	 0.896796	 10.3	 0.287208	 0.563393	0.769
12	1	11.000		0.86	1	 1.64239	 1.92734	 1.10911	 0.906190	  9.4	 0.266642	 0.551588	0.764
13	1	12.000		0.77	1	 1.61518	 1.91033	 1.12746	 0.915228	  8.5	 0.243859	 0.539012	0.762
14	1	13.000		0.69	1	 1.58623	 1.89287	 1.14766	 0.923783	  7.6	 0.219289	 0.525930	0.763
15	1	14.000		0.61	1	 1.55615	 1.87523	 1.16928	 0.931750	  6.8	 0.193435	 0.512508	0.767
16	1	15.000		0.55	1	 1.52562	 1.85759	 1.19194	 0.939050	  6.1	 0.166839	 0.498809	0.774
17	1	16.000		0.49	1	 1.49536	 1.84011	 1.21525	 0.945633	  5.4	 0.140053	 0.484804	0.785
18	1	17.000		0.43	1	 1.46608	 1.82287	 1.23887	 0.951474	  4.9	 0.113605	 0.470395	0.799
19	1	18.000		0.39	1	 1.43845	 1.80592	 1.26250	 0.956574	  4.3	 0.0879766	 0.455447	0.816
20	1	19.000		0.35	1	 1.41302	 1.78926	 1.28587	 0.960959	  3.9	 0.0635746	 0.439816	0.836
21	1	20.000		0.31	1	 1.39022	 1.77289	 1.30878	 0.964669	  3.5	 0.0407204	 0.423388	0.860
22	1	21.000		0.28	1	 1.37032	 1.75679	 1.33104	 0.967757	  3.2	 0.0196412	 0.406108	0.887
23	1	22.000		0.26	1	 1.35344	 1.74097	 1.35250	 0.970283	  3.0	 0.000470496	 0.387998	0.917
24	1	23.000		0.24	1	 1.33954	 1.72544	 1.37303	 0.972308	  2.8	-0.0167442	 0.369160	0.950
25	1	23.421	i22761Gh	0.24	1	 1.33454	 1.71900	 1.38137	 0.973025	  2.7	-0.0234105	 0.361050	0.966
26	1	24.421		0.23	1	 1.33218	 1.72963	 1.38110	 0.973771	  2.6	-0.0244557	 0.372991	0.930
27	1	25.421		0.22	1	 1.32991	 1.74014	 1.38132	 0.974617	  2.5	-0.0257056	 0.384520	0.899
28	1	26.421		0.21	1	 1.32775	 1.75029	 1.38217	 0.975577	  2.4	-0.0272126	 0.395332	0.870
29	1	27.421		0.21	1	 1.32572	 1.75978	 1.38379	 0.976661	  2.3	-0.0290393	 0.405023	0.845
30	1	28.421		0.19	1	 1.32385	 1.76818	 1.38637	 0.977880	  2.2	-0.0312585	 0.413069	0.823
31	1	29.421		0.18	1	 1.32219	 1.77495	 1.39010	 0.979243	  2.1	-0.0339529	 0.418809	0.804
32	1	30.421		0.17	1	 1.32078	 1.77942	 1.39520	 0.980751	  1.9	-0.0372123	 0.421423	0.789
33	1	31.421		0.15	1	 1.31966	 1.78073	 1.40192	 0.982402	  1.8	-0.0411280	 0.419933	0.776
34	1	32.421		0.14	1	 1.31890	 1.77791	 1.41046	 0.984177	  1.6	-0.0457830	 0.413224	0.767
35	1	33.421		0.12	1	 1.31853	 1.76988	 1.42101	 0.986043	  1.4	-0.0512364	 0.400109	0.761
36	1	34.421		0.11	1	 1.31861	 1.75556	 1.43361	 0.987947	  1.2	-0.0575031	 0.379452	0.758
37	1	35.421		0.09	1	 1.31915	 1.73403	 1.44821	 0.989813	  1.0	-0.0645292	 0.350355	0.758
38	1	36.421		0.07	1	 1.32015	 1.70473	 1.46449	 0.991542	  0.8	-0.0721701	 0.312408	0.761
39	1	37.421		0.06	1	 1.32157	 1.66768	 1.48192	 0.993023	  0.7	-0.0801787	 0.265933	0.767
40	1	38.421		0.05	1	 1.32330	 1.62368	 1.49973	 0.994145	  0.6	-0.0882142	 0.212168	0.777
