Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
52	1	45.910		0.16	1	 0.476549	 0.550090	 0.249509	 0.625977	  1.0	 0.113520	 0.187061	0.951
53	1	46.910		0.21	1	 0.461660	 0.595027	 0.249598	 0.624154	  1.3	 0.106031	 0.239398	0.966
54	1	47.910		0.27	1	 0.449774	 0.623409	 0.249960	 0.621741	  1.7	 0.0999071	 0.273542	0.997
55	1	47.989	i05071Gh	0.27	1	 0.448980	 0.625000	 0.250000	 0.621540	  1.7	 0.0994898	 0.275510	1.000
56	1	48.989		0.19	1	 0.466604	 0.569291	 0.249805	 0.625049	  1.2	 0.108400	 0.211087	0.971
57	1	49.989		0.15	1	 0.488427	 0.503790	 0.249838	 0.626624	  0.9	 0.119294	 0.134657	0.965
58	1	50.989		0.16	1	 0.510083	 0.441569	 0.249952	 0.625901	  1.0	 0.130066	 0.0615517	0.981
59	1	51.563	i05090Gh	0.20	1	 0.520833	 0.411765	 0.250000	 0.624614	  1.2	 0.135417	 0.0263480	1.000
60	1	51.563	i05088Gh	0.20	1	 0.520833	 0.411765	 0.250000	 0.624614	  1.2	 0.135417	 0.0263480	1.000
61	1	52.563		0.19	1	 0.522453	 0.414746	 0.247902	 0.624766	  1.2	 0.137276	 0.0295685	0.963
62	1	53.563		0.19	1	 0.523567	 0.418597	 0.246206	 0.624949	  1.2	 0.138681	 0.0337106	0.930
63	1	54.563		0.18	1	 0.524091	 0.423298	 0.244994	 0.625159	  1.1	 0.139548	 0.0387553	0.903
64	1	55.563		0.18	1	 0.523962	 0.428779	 0.244360	 0.625395	  1.1	 0.139801	 0.0446185	0.881
65	1	56.563		0.17	1	 0.523146	 0.434931	 0.244395	 0.625649	  1.1	 0.139375	 0.0511605	0.865
66	1	57.563		0.16	1	 0.521642	 0.441610	 0.245185	 0.625916	  1.0	 0.138228	 0.0581968	0.853
67	1	58.563		0.16	1	 0.519480	 0.448648	 0.246800	 0.626189	  1.0	 0.136340	 0.0655083	0.846
68	1	59.563		0.15	1	 0.516722	 0.455858	 0.249296	 0.626459	  0.9	 0.133713	 0.0728492	0.844
69	1	60.563		0.14	1	 0.513458	 0.463043	 0.252719	 0.626720	  0.9	 0.130370	 0.0799538	0.847
70	1	61.563		0.14	1	 0.509803	 0.470001	 0.257107	 0.626967	  0.9	 0.126348	 0.0865460	0.855
71	1	62.563		0.13	1	 0.505885	 0.476539	 0.262491	 0.627196	  0.8	 0.121697	 0.0923513	0.869
72	1	63.563		0.13	1	 0.501840	 0.482480	 0.268889	 0.627405	  0.8	 0.116475	 0.0971158	0.887
73	1	64.563		0.12	1	 0.497799	 0.487677	 0.276299	 0.627594	  0.8	 0.110750	 0.100628	0.910
74	1	65.563		0.12	1	 0.493879	 0.492024	 0.284682	 0.627766	  0.7	 0.104599	 0.102744	0.939
75	1	66.563		0.11	1	 0.490177	 0.495467	 0.293953	 0.627925	  0.7	 0.0981116	 0.103402	0.972
76	1	67.193	i27422Gh	0.11	1	 0.487986	 0.497170	 0.300191	 0.628020	  0.7	 0.0938976	 0.103081	0.996
77	1	68.153	i18951Gh	0.20	1	 0.487163	 0.525350	 0.259740	 0.624506	  1.2	 0.113711	 0.151898	0.991
78	1	69.153		0.21	1	 0.500833	 0.514451	 0.252069	 0.623874	  1.3	 0.124382	 0.138001	0.978
79	1	70.107	i05303Gh	0.23	1	 0.513514	 0.500000	 0.250000	 0.623195	  1.5	 0.131757	 0.118243	1.000
80	1	70.107	i05306Gh	0.23	1	 0.513514	 0.500000	 0.250000	 0.623195	  1.5	 0.131757	 0.118243	1.000
81	1	71.107		0.25	1	 0.503218	 0.525738	 0.237931	 0.622667	  1.5	 0.132644	 0.155164	0.966
82	1	72.107		0.27	1	 0.492358	 0.552109	 0.228914	 0.621888	  1.7	 0.131722	 0.191473	0.944
83	1	73.107		0.29	1	 0.481431	 0.576559	 0.225893	 0.620998	  1.8	 0.127769	 0.222897	0.933
84	1	74.107		0.31	1	 0.470951	 0.596546	 0.231117	 0.620173	  1.9	 0.119917	 0.245512	0.935
85	1	75.107		0.33	1	 0.461310	 0.610526	 0.245022	 0.619550	  2.0	 0.108144	 0.257360	0.948
86	1	76.107		0.33	1	 0.452698	 0.618440	 0.266042	 0.619174	  2.1	 0.0933279	 0.259070	0.973
87	1	76.850	i29577Gh	0.34	1	 0.446983	 0.621023	 0.284667	 0.619032	  2.1	 0.0811577	 0.255198	0.999
88	1	77.850		0.30	1	 0.456511	 0.610581	 0.270747	 0.620540	  1.9	 0.0928825	 0.246952	0.963
89	1	78.850		0.26	1	 0.467156	 0.594520	 0.260240	 0.622063	  1.6	 0.103458	 0.230823	0.937
90	1	79.850		0.22	1	 0.478804	 0.572180	 0.254446	 0.623499	  1.4	 0.112179	 0.205555	0.919
91	1	80.850		0.19	1	 0.491164	 0.543653	 0.254149	 0.624697	  1.2	 0.118508	 0.170997	0.909
92	1	81.850		0.17	1	 0.503745	 0.510112	 0.259173	 0.625485	  1.1	 0.122286	 0.128653	0.909
93	1	82.850		0.17	1	 0.515908	 0.473775	 0.268219	 0.625711	  1.1	 0.123845	 0.0817117	0.916
94	1	83.850		0.18	1	 0.526998	 0.437410	 0.279183	 0.625298	  1.1	 0.123907	 0.0343197	0.933
95	1	84.850		0.20	1	 0.536495	 0.403572	 0.289842	 0.624264	  1.3	 0.123326	-0.00959682	0.958
96	1	85.850		0.24	1	 0.544106	 0.374001	 0.298522	 0.622710	  1.5	 0.122792	-0.0473122	0.992
97	1	86.060	i05316Gh	0.25	1	 0.545455	 0.368421	 0.300000	 0.622331	  1.6	 0.122727	-0.0543062	1.000
98	1	87.060		0.23	1	 0.544271	 0.383267	 0.299978	 0.623395	  1.4	 0.122146	-0.0388575	0.979
99	1	88.060		0.19	1	 0.537566	 0.406334	 0.299994	 0.624697	  1.2	 0.118786	-0.0124457	0.996
100	1	88.171	i39079Gh	0.19	1	 0.536585	 0.409091	 0.300000	 0.624840	  1.2	 0.118293	-0.00920177	1.000
101	1	88.171	i32995Gh	0.19	1	 0.536585	 0.409091	 0.300000	 0.624840	  1.2	 0.118293	-0.00920177	1.000
102	1	88.862	i33216Gh	0.22	1	 0.536580	 0.428592	 0.272709	 0.623559	  1.4	 0.131936	 0.0239475	1.000
103	1	89.554	i31562Gh	0.19	1	 0.536585	 0.409091	 0.300000	 0.624840	  1.2	 0.118293	-0.00920177	1.000
104	1	90.554		0.18	1	 0.537579	 0.407889	 0.303987	 0.625196	  1.1	 0.116796	-0.0128941	0.967
105	1	91.554		0.17	1	 0.536627	 0.408913	 0.310425	 0.625699	  1.1	 0.113101	-0.0146129	0.948
106	1	92.554		0.15	1	 0.534238	 0.410293	 0.320995	 0.626313	  1.0	 0.106621	-0.0173238	0.943
107	1	93.554		0.14	1	 0.531059	 0.410340	 0.336441	 0.626977	  0.9	 0.0973091	-0.0234095	0.951
108	1	94.554		0.12	1	 0.527640	 0.408298	 0.355359	 0.627613	  0.8	 0.0861405	-0.0332011	0.974
109	1	94.965	i05331Gh	0.11	1	 0.526241	 0.407000	 0.363269	 0.627847	  0.7	 0.0814860	-0.0377557	0.987
110	1	95.965		0.14	1	 0.532612	 0.387780	 0.363414	 0.626857	  0.9	 0.0845987	-0.0602334	0.971
111	1	96.965		0.16	1	 0.535324	 0.373367	 0.363561	 0.625953	  1.0	 0.0858817	-0.0760755	0.981
112	1	97.560	i18974Gh	0.17	1	 0.534884	 0.368421	 0.363636	 0.625537	  1.1	 0.0856237	-0.0808390	1.000
113	1	98.251	i15494Gh	0.18	1	 0.534884	 0.388889	 0.333333	 0.625235	  1.1	 0.100775	-0.0452196	1.000
114	1	99.251		0.20	1	 0.536904	 0.400856	 0.304488	 0.624416	  1.3	 0.116208	-0.0198402	0.969
115	1	100.251		0.23	1	 0.539548	 0.405127	 0.282978	 0.623420	  1.4	 0.128285	-0.00613642	0.957
116	1	101.251		0.25	1	 0.542455	 0.401426	 0.272320	 0.622493	  1.6	 0.135067	-0.00596173	0.963
117	1	102.251		0.27	1	 0.544911	 0.392390	 0.271401	 0.621716	  1.7	 0.136755	-0.0157666	0.988
118	1	102.584	i15500Gh	0.28	1	 0.545455	 0.388889	 0.272727	 0.621489	  1.7	 0.136364	-0.0202020	1.000
119	1	103.584		0.28	1	 0.546626	 0.379788	 0.268165	 0.621386	  1.7	 0.139230	-0.0276082	0.963
120	1	104.584		0.28	1	 0.547625	 0.369500	 0.265248	 0.621306	  1.8	 0.141188	-0.0369363	0.932
121	1	105.584		0.28	1	 0.548363	 0.358225	 0.263980	 0.621252	  1.8	 0.142191	-0.0479473	0.907
122	1	106.584		0.28	1	 0.548728	 0.346309	 0.264165	 0.621230	  1.8	 0.142282	-0.0601373	0.888
123	1	107.584		0.28	1	 0.548579	 0.334221	 0.265477	 0.621251	  1.8	 0.141551	-0.0728072	0.875
124	1	108.584		0.28	1	 0.547759	 0.322520	 0.267570	 0.621332	  1.7	 0.140094	-0.0851448	0.867
125	1	109.584		0.28	1	 0.546096	 0.311860	 0.270155	 0.621494	  1.7	 0.137971	-0.0962653	0.866
126	1	110.584		0.27	1	 0.543420	 0.303023	 0.273022	 0.621761	  1.7	 0.135199	-0.105197	0.870
127	1	111.584		0.26	1	 0.539578	 0.296960	 0.276023	 0.622157	  1.6	 0.131778	-0.110840	0.880
128	1	112.584		0.24	1	 0.534481	 0.294792	 0.279012	 0.622703	  1.5	 0.127735	-0.111955	0.896
129	1	113.584		0.23	1	 0.528160	 0.297715	 0.281787	 0.623404	  1.4	 0.123187	-0.107258	0.918
130	1	114.584		0.21	1	 0.520842	 0.306749	 0.284055	 0.624242	  1.3	 0.118394	-0.0956990	0.945
131	1	115.584		0.18	1	 0.513001	 0.322322	 0.285450	 0.625166	  1.1	 0.113775	-0.0769031	0.979
132	1	116.126	i61969Gt	0.17	1	 0.508772	 0.333333	 0.285714	 0.625674	  1.1	 0.111529	-0.0639098	1.000
133	1	116.653	i53242Gb	0.21	1	 0.516381	 0.303277	 0.285714	 0.623886	  1.3	 0.115334	-0.0977703	0.995
134	1	116.814	i53641Gb	0.23	1	 0.517857	 0.300000	 0.285714	 0.623434	  1.4	 0.116071	-0.101786	1.000
135	1	117.505	i43740Gh	0.24	1	 0.517857	 0.333333	 0.250000	 0.623043	  1.5	 0.133929	-0.0505952	1.000
136	1	117.505	i28504Gh	0.24	1	 0.517857	 0.333333	 0.250000	 0.623043	  1.5	 0.133929	-0.0505952	1.000
137	1	118.505		0.28	1	 0.524243	 0.320728	 0.236572	 0.621402	  1.7	 0.143836	-0.0596794	0.981
138	1	119.255	i54364Gb	0.29	1	 0.523334	 0.347510	 0.222331	 0.621042	  1.8	 0.150502	-0.0253218	0.993
139	1	120.255		0.22	1	 0.510702	 0.437569	 0.222221	 0.623514	  1.4	 0.144241	 0.0711076	0.982
140	1	121.005	i05058Gh	0.21	1	 0.500000	 0.500000	 0.222222	 0.624049	  1.3	 0.138889	 0.138889	1.000
141	1	122.005		0.21	1	 0.499813	 0.501231	 0.221919	 0.624029	  1.3	 0.138947	 0.140365	0.988
142	1	122.420	i15398Gh	0.21	1	 0.499748	 0.501559	 0.221826	 0.624021	  1.3	 0.138961	 0.140771	0.999
