Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
54	1	51.439	i11771Gh	0.72	1	 0.857143	 1.00000	 1.72727	 1.20824	 10.9	-0.435065	-0.292208	1.000
55	1	52.439		0.73	1	 0.838244	 1.00343	 1.72738	 1.20759	 10.9	-0.444570	-0.279388	0.983
56	1	53.206	i11789Gh	0.73	1	 0.833333	 1.00000	 1.72727	 1.20742	 10.9	-0.446970	-0.280303	1.000
57	1	54.206		0.99	1	 0.833327	 0.937162	 1.84236	 1.15806	 14.6	-0.504515	-0.400680	0.983
58	1	54.974	i00801Gh	1.17	1	 0.833333	 0.923077	 1.90000	 1.12608	 16.9	-0.533333	-0.443590	1.000
59	1	54.974	i52487Gb	1.17	1	 0.833333	 0.923077	 1.90000	 1.12608	 16.9	-0.533333	-0.443590	1.000
60	1	55.850	i39523Gh	1.16	1	 0.910281	 0.888394	 1.90001	 1.12717	 16.8	-0.494866	-0.516753	0.983
61	1	56.722	i29527Gh	1.18	1	 1.00000	 0.857143	 1.90000	 1.12463	 17.0	-0.450000	-0.592857	1.000
62	1	56.722	i24726Gh	1.18	1	 1.00000	 0.857143	 1.90000	 1.12463	 17.0	-0.450000	-0.592857	1.000
63	1	56.961	i20049Gh	1.17	1	 1.00000	 0.859393	 1.91114	 1.12626	 16.9	-0.455572	-0.596179	0.992
64	1	57.961		1.05	1	 1.00001	 0.897367	 1.91532	 1.14741	 15.4	-0.457659	-0.560298	0.985
65	1	58.481	i11842Gh	0.95	1	 1.00000	 0.933333	 1.88889	 1.16628	 14.0	-0.444444	-0.511111	1.000
66	1	58.481	i20574Gh	0.95	1	 1.00000	 0.933333	 1.88889	 1.16628	 14.0	-0.444444	-0.511111	1.000
67	1	58.481	i20039Gh	0.95	1	 1.00000	 0.933333	 1.88889	 1.16628	 14.0	-0.444444	-0.511111	1.000
68	1	59.481		0.95	1	 1.00327	 0.929311	 1.88904	 1.16615	 14.0	-0.442881	-0.516845	0.983
69	1	60.252	i50076Gb	0.95	1	 1.00000	 0.928571	 1.88889	 1.16612	 14.0	-0.444444	-0.515873	1.000
70	1	61.252		0.81	1	 0.999999	 0.961911	 1.89354	 1.19258	 12.0	-0.446768	-0.484857	0.971
71	1	62.252		0.63	1	 0.999924	 1.01485	 1.85715	 1.22584	  9.6	-0.428613	-0.413686	0.964
72	1	63.252		0.45	1	 0.999901	 1.08096	 1.77966	 1.26112	  7.0	-0.389878	-0.308817	0.979
73	1	63.893	i42616Gh	0.35	1	 1.00000	 1.12500	 1.71429	 1.28202	  5.4	-0.357143	-0.232143	1.000
74	1	63.893	i11898Gh	0.35	1	 1.00000	 1.12500	 1.71429	 1.28202	  5.4	-0.357143	-0.232143	1.000
75	1	64.893		0.35	1	 0.993519	 1.12304	 1.70902	 1.28313	  5.3	-0.357753	-0.228231	0.967
