Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
55	1	48.176		0.92	1	 0.688630	 3.29568	-107.682	 1.11033	 11.1	 54.1855	 56.7926	0.837
56	1	49.176		0.83	1	 0.685361	 3.28640	-99.2585	 1.12270	 10.1	 49.9719	 52.5729	0.825
57	1	50.176		0.72	1	 0.716455	 3.13262	-85.6035	 1.13946	  8.8	 43.1600	 45.5761	0.817
58	1	51.176		0.59	1	 0.786473	 2.81743	-65.4902	 1.15887	  7.2	 33.1384	 35.1693	0.814
59	1	52.176		0.46	1	 0.887243	 2.37712	-40.0270	 1.17774	  5.7	 20.4571	 21.9470	0.815
60	1	53.176		0.36	1	 0.999933	 1.89143	-12.0979	 1.19293	  4.5	 6.54892	 7.44042	0.820
61	1	54.176		0.30	1	 1.10515	 1.44086	 15.5558	 1.20292	  3.7	-7.22534	-6.88964	0.829
62	1	55.176		0.26	1	 1.19134	 1.07227	 41.9471	 1.20796	  3.3	-20.3779	-20.4969	0.842
63	1	56.176		0.25	1	 1.25569	 0.795984	 68.3261	 1.20927	  3.2	-33.5352	-33.9949	0.859
64	1	57.176		0.26	1	 1.30062	 0.600866	 98.5134	 1.20820	  3.3	-48.6064	-49.3061	0.881
65	1	58.176		0.28	1	 1.33032	 0.468864	 141.391	 1.20580	  3.5	-70.0304	-70.8919	0.907
66	1	59.176		0.30	1	 1.34884	 0.382790	 224.352	 1.20276	  3.7	-111.502	-112.468	0.937
67	1	60.176		0.32	1	 1.35944	 0.328952	 518.450	 1.19950	  4.0	-258.545	-259.576	0.972
68	1	60.917	i18673Gh		1								1.000
69	1	60.917	i36836Gh		1								1.000
70	1	60.917	i15072Gh		1								1.000
71	1	60.917	i24286Gh		1								1.000
72	1	60.917	i15071Gh		1								1.000
73	1	61.917		0.02	1	 1.39265	 1.24015	 385.331	 1.24559	  0.3	-191.969	-192.122	0.969
